Carrier,Name,2010,2011,2012,2013,2014,2015
AA,American Airlines,79.63,77.79,76.94,77.62,75.79,80.26
AS,Alaska Airlines,87.56,88.2,87.52,87.16,86.16,86.42
B6,JetBlue Airways,75.68,73.34,79.13,74.44,75.43,75.97
DL,Delta Air Lines,77.37,82.29,86.54,84.51,83.71,85.89
EV,ExpressJet Airlines,79.24,75.15,76.89,72.75,70.75,77.9
F9,Frontier Airlines,81.41,79.16,77.93,73.08,74.07,73.23
HA,Hawaiian Airlines,92.47,92.78,93.38,93.32,91.89,88.4
MQ,Envoy Air,77.05,76.35,81.61,72.1,68.79,74.07
OO,SkyWest Airlines,79.05,79.34,81.61,79.66,76.35,79.72
UA,United Air Lines,85.16,80.16,77.35,79.27,75.99,78.15
US,US Airways,83.03,79.79,85.88,81.47,80.69,79.35
VX,Virgin America,,,83.45,82.07,81.48,79.92
WN,Southwest Airlines,79.46,81.33,83.13,76.7,73.01,79.71